n, iterator-time, recursive-time
0,4501,1814
1,731,474
2,399,383
3,300,465
4,315,462
5,257,598
6,307,720
7,288,785
8,581,936
9,388,964
10,353,1071
11,282,1091
12,279,1210
13,304,1215
14,382,1331
15,311,3869
16,324,1355
17,308,1558
18,426,1644
19,434,1817
20,435,1925
21,445,2024
22,495,9607
23,569,2431
24,13519,2218
25,570,2257
26,574,2319
27,564,2741
28,496,2361
29,497,2626
30,539,2573
31,568,10556
32,775,2750
33,638,2626
34,547,2623
35,725,3362
36,676,2814
37,759,2881
38,643,3152
39,734,2910
40,622,3024
41,695,3445
42,762,3117
43,816,3289
44,738,3711
45,3302,3545
46,881,3537
47,747,3812
48,804,3562
49,826,3678
50,894,4436
51,786,4046
52,768,4105
53,1012,4056
54,749,34625
55,824,4152
56,965,4408
57,847,4625
58,6677,11082
59,1424,577
60,1341,557
61,1000,469
62,1306,579
63,1110,486
64,3311,686
65,1302,630
66,1366,598
67,1118,670
68,991,458
69,1017,503
70,1074,549
71,1994,903
72,1492,731
73,1291,1371
74,1217,1197
75,37582,634
76,1333,704
77,1172,664
78,4197,695
79,1337,584
80,1258,678
81,1353,586
82,1283,635
83,1307,634
84,1312,540031
85,2149,921
86,1344,621
87,1311,646
88,1246,610
89,1298,576
90,1378,635
91,4192,747
92,1583,724
93,1287,620
94,1439,718
95,1509,637
96,1411,909
97,1474,728
98,1362,741
99,1763,772
100,1438,726
101,9734,651
102,1569,782
103,1502,796
104,1585,812
105,1727,10097
106,1703,786491
107,909,985
108,504,1036
109,517,863
110,513,895
111,1127,7591
112,657,379
113,539,453
114,571,382
115,469,354
116,570,420
117,648,371
118,527,409
119,563,406
120,651,411
121,614,413
122,587,365
123,509,407
124,576,409
125,641,411
126,618,428
127,459,509
128,818,484
129,703,430
130,505,363
131,532,356
132,434,385
133,668,506
134,702,473
135,654,457
136,585,496
137,606,474
138,543,467
139,471,469
140,739,470
141,612,489
142,543,495
143,601,480
144,573,491
145,728,515
146,572,505
147,534,498
148,551,464
149,628,493
150,601,553
151,650,568
152,658,583
153,560,517
154,684,531
155,677,552
156,718,528
157,681,520
158,673,601
159,772,568
160,538,472
161,542,456
162,658,466
163,672,647
164,611,510
165,639,518
166,647,539
167,2978,551
168,546,499
169,704,581
170,570,563
171,570,530
172,606,557
173,641,553
174,581,637
175,704,587
176,898,986
177,586,528
178,568,533
179,662,529
180,582436,2880
181,1190,744
182,1061,661
183,833,689
184,1347,639
185,674,601
186,854,914
187,1121,607
188,653,730
189,625,863
190,717,724
191,782,640
192,913,1023
193,1009,695
194,945,789
